1303171200,1303171891,0.0
1303171891,1303171895,1.0
1303171895,1303171941,3.0
1303171941,1303171963,0.0
1303171963,1303171967,1.0
1303171967,1303212036,0.0
1303212036,1303212040,1.0
1303212040,1303212043,2.0
1303212043,1303212101,3.0
1303212101,1303212144,0.0
1303212144,1303212147,1.0
1303212147,1303212151,0.0
1303212151,1303212208,3.0
1303212208,1303212218,0.0
1303212218,1303212222,1.0
1303212222,1303213116,0.0
1303213116,1303213119,2.0
1303213119,1303213237,3.0
1303213237,1303213244,0.0
1303213244,1303213247,1.0
1303213247,1303220127,0.0
1303220127,1303220130,1.0
1303220130,1303220191,3.0
1303220191,1303220444,0.0
1303220444,1303220447,1.0
1303220447,1303220451,0.0
1303220451,1303220522,3.0
1303220522,1303220529,1.0
1303220529,1303225462,0.0
1303225462,1303225469,3.0
1303225469,1303225473,1.0
1303225473,1303248583,0.0
1303248583,1303248761,3.0
1303248761,1303249085,0.0
1303249085,1303249098,1.0
1303249098,1303250202,0.0
1303250202,1303250205,1.0
1303250205,1303250249,3.0
1303250249,1303250320,0.0
1303250320,1303250323,1.0
1303250323,1303257600,0.0
