1303776000,1303777032,0.0
1303777032,1303777210,3.0
1303777210,1303777221,0.0
1303777221,1303777228,1.0
1303777228,1303778128,0.0
1303778128,1303778132,1.0
1303778132,1303778136,0.0
1303778136,1303778194,3.0
1303778194,1303778293,0.0
1303778293,1303778296,1.0
1303778296,1303817280,0.0
1303817280,1303817284,1.0
1303817284,1303817292,2.0
1303817292,1303817345,3.0
1303817345,1303817378,0.0
1303817378,1303817388,1.0
1303817388,1303817566,3.0
1303817566,1303817578,0.0
1303817578,1303817585,1.0
1303817585,1303817702,3.0
1303817702,1303817706,1.0
1303817706,1303818032,0.0
1303818032,1303818039,1.0
1303818039,1303818161,3.0
1303818161,1303818221,0.0
1303818221,1303818225,1.0
1303818225,1303821761,0.0
1303821761,1303821764,1.0
1303821764,1303821821,3.0
1303821821,1303821900,0.0
1303821900,1303821903,1.0
1303821903,1303822007,0.0
1303822007,1303822011,1.0
1303822011,1303822014,2.0
1303822014,1303822071,3.0
1303822071,1303822086,0.0
1303822086,1303822095,1.0
1303822095,1303827625,0.0
1303827625,1303827801,1.0
1303827801,1303827991,0.0
1303827991,1303827995,1.0
1303827995,1303828005,0.0
1303828005,1303828183,3.0
1303828183,1303828187,0.0
1303828187,1303828198,1.0
1303828198,1303860461,0.0
1303860461,1303860464,1.0
1303860464,1303860468,2.0
1303860468,1303860643,3.0
1303860643,1303860683,0.0
1303860683,1303860686,1.0
1303860686,1303862400,0.0
